Depth_of_Cut,Feed_Rate,Cutting_Speed,Material,Tool,Predicted_Ra
0.6,0.2,366.67,41Cr4,Tool1,1.3786
0.6,0.2,400.0,20MnCr5,Tool1,1.8474
0.6,0.2,400.0,EN AW-6082,Tool1,1.8487
0.6,0.2,400.0,41Cr4,Tool1,1.3786
0.6,0.25,100.0,20MnCr5,Tool1,2.745
0.6,0.25,100.0,EN AW-6082,Tool1,2.7442
0.6,0.25,100.0,41Cr4,Tool1,2.43
0.6,0.25,133.33,20MnCr5,Tool1,2.7493
0.6,0.25,133.33,EN AW-6082,Tool1,2.7488
0.6,0.25,133.33,41Cr4,Tool1,2.3952
0.6,0.25,166.67,20MnCr5,Tool1,2.7521
0.6,0.25,166.67,EN AW-6082,Tool1,2.7516
0.6,0.25,166.67,41Cr4,Tool1,2.3683
0.6,0.25,200.0,20MnCr5,Tool1,2.7544
0.6,0.25,200.0,EN AW-6082,Tool1,2.754
0.6,0.25,200.0,41Cr4,Tool1,2.3737
0.6,0.25,233.33,20MnCr5,Tool1,2.7512
0.6,0.25,233.33,EN AW-6082,Tool1,2.7502
0.6,0.25,233.33,41Cr4,Tool1,2.3706
0.6,0.25,266.67,20MnCr5,Tool1,2.7506
0.6,0.25,266.67,EN AW-6082,Tool1,2.7496
0.6,0.25,266.67,41Cr4,Tool1,2.3693
0.6,0.25,300.0,20MnCr5,Tool1,2.7508
0.6,0.25,300.0,EN AW-6082,Tool1,2.7501
0.6,0.25,300.0,41Cr4,Tool1,2.3698
0.6,0.25,333.33,20MnCr5,Tool1,2.7508
0.6,0.25,333.33,EN AW-6082,Tool1,2.7501
0.6,0.25,333.33,41Cr4,Tool1,2.3698
0.6,0.25,366.67,20MnCr5,Tool1,2.7508
0.6,0.25,366.67,EN AW-6082,Tool1,2.7501
0.6,0.25,366.67,41Cr4,Tool1,2.3698
0.6,0.25,400.0,20MnCr5,Tool1,2.7508
0.6,0.25,400.0,EN AW-6082,Tool1,2.7501
0.6,0.25,400.0,41Cr4,Tool1,2.3698
0.8,0.05,100.0,20MnCr5,Tool1,1.0393
0.8,0.05,100.0,EN AW-6082,Tool1,1.0008
0.8,0.05,100.0,41Cr4,Tool1,0.9587
0.8,0.05,133.33,20MnCr5,Tool1,0.8544
0.8,0.05,133.33,EN AW-6082,Tool1,0.8308
0.8,0.05,133.33,41Cr4,Tool1,0.7383
0.8,0.05,166.67,20MnCr5,Tool1,0.7312
0.8,0.05,166.67,EN AW-6082,Tool1,0.7185
0.8,0.05,166.67,41Cr4,Tool1,0.6444
0.8,0.05,200.0,20MnCr5,Tool1,0.5229
0.8,0.05,200.0,EN AW-6082,Tool1,0.5217
0.8,0.05,200.0,41Cr4,Tool1,0.4675
0.8,0.05,233.33,20MnCr5,Tool1,0.5226
0.8,0.05,233.33,EN AW-6082,Tool1,0.5213
0.8,0.05,233.33,41Cr4,Tool1,0.4669
0.8,0.05,266.67,20MnCr5,Tool1,0.5196
0.8,0.05,266.67,EN AW-6082,Tool1,0.5184
0.8,0.05,266.67,41Cr4,Tool1,0.4662
0.8,0.05,300.0,20MnCr5,Tool1,0.5158
0.8,0.05,300.0,EN AW-6082,Tool1,0.5146
0.8,0.05,300.0,41Cr4,Tool1,0.459
0.8,0.05,333.33,20MnCr5,Tool1,0.5158
0.8,0.05,333.33,EN AW-6082,Tool1,0.5146
0.8,0.05,333.33,41Cr4,Tool1,0.459
0.8,0.05,366.67,20MnCr5,Tool1,0.5158
0.8,0.05,366.67,EN AW-6082,Tool1,0.5146
0.8,0.05,366.67,41Cr4,Tool1,0.459
0.8,0.05,400.0,20MnCr5,Tool1,0.5158
