Sample_ID,Experiment_Path,Surface_Roughness_Ra,Depth_of_Cut_ap,Feed_Rate_f,Cutting_Speed_vc,Material,Tool
K0025,K0025/Scope_2025_11_11_10_25_39,2.671,0.89,0.245,295.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_11_11_10_38_48,0.715,0.55,0.11,190.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_11_11_10_42_19,1.931,0.75,0.21,140.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_11_11_10_46_44,0.654,0.78,0.11,170.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_11_11_10_49_44,2.482,0.87,0.24,250.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_11_11_10_52_37,0.643,0.7,0.12,260.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_11_11_10_55_44,0.85,0.99,0.14,190.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_11_11_10_59_09,0.95,0.75,0.15,240.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_11_11_11_02_22,0.93,0.9,0.15,260.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_11_11_11_05_45,1.708,0.52,0.17,120.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_11_11_11_09_01,0.951,0.89,0.11,120.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_11_11_11_12_19,2.18,0.99,0.22,110.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_11_11_11_15_17,1.456,0.58,0.18,210.0,20MnCr5,DNMG150608
K0026,K0026/Scope_2025_05_08_09_27_37,0.288,0.5,0.1,300.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_09_30_17,0.775,0.5,0.15,300.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_09_32_43,1.475,0.5,0.2,300.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_09_35_09,2.143,0.5,0.25,300.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_09_38_21,3.553,0.5,0.3,300.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_09_48_17,0.385,0.5,0.1,100.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_09_54_05,0.809,0.5,0.15,100.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_09_56_39,1.564,0.5,0.2,100.0,EN AW-6082,DNMG150608
K0026,K0026/Scope_2025_05_08_09_59_16,2.456,0.5,0.25,100.0,EN AW-6082,DNMG150608
